,проблема,ответ-скрипт,какие дальше дествия,,
"Здравствуйте, подскажите как оставить отзыв на товар?",,"Здравствуйте, в отделе Ваших покупок будут показаны приобретенные товары и будет предложено оценить товар.",,,
Добрый день. Почему такая долгая поставка. Когда уже наконец приедет товар???,,"Здравствуйте,Уважаемый покупатель.Искренее просим извинение,что с вами так произошло.Но мы за логистику не отвечаем.Мы отправили Ваш товар сразу в день заказа.",,,
,Просто игрушка,"Такие отзывы лучше тоже не по шаблону отвечать, а написать возражения, что наш массажер подтвердил свою эффективность множеством отзывов, при правильном использовании помогает расслабится, снять напряжение, стимулирует рост волос. Рекомендуем попробовать различные техники массажа для достижения максимального эффекта. Уверены, что вы по достоинству оцените его пользу!",,,
,,"Сожалеем, что матрас не оправдал ваших ожиданий. Если товар вам не подошел, его можно вернуть в ПВЗ в течение 14 дней при сохранении полной комплектации и упаковки. Также отметим, что все отзывы на товары публикуются автоматически. Продавец никак не может повлиять на их публикацию, исключая случаи нарушения политики ВБ в тексте отзыва",,,
,плохой отзыв,"Искренне сожалеем, что массажный матрас не оправдал ваших ожиданий. Очень огорчены, что оценили наш матрас так низко. Хотим отметить несколько важных моментов:

Эффективность нашего массажного матраса подтверждена многочисленными положительными отзывами довольных покупателей. Все характеристики прописаны в карточке товара и на слайдах, просим внимательно все читать. мы стараемся предоставлять качественный товар и приемлемым ценам.
Возможно у вас, возникли сложности с освоением всех функций устройства. Наша служба поддержки готова:
провести подробную консультацию по использованию всех режимов массажа, объяснить особенности настройки и ответить на все интересующие вопросы
Если же вы столкнулись с заводским браком, мы также готовы решить эту проблему.

Что касается ваших замечаний о цене и отзывах:
Цена может варьироваться в зависимости от участия в акциях маркетплейса.
Продавцы не имеют технической возможности удалять или блокировать отзывы на маркетплейсе - все отзывы отображаются автоматически.
Пожалуйста, свяжитесь с нашей службой поддержки по What сап 7 (962) 559-29-48!",,,
,,"Здравствуйте. Мы всегда отправляем товары надлежащего качества и с полной комплектацией, подмены с нашей стороны исключены. К сожалению, бывают случаи, когда недобросовестные покупатели подменяют товар и потом возвращают, а далее он попадает к другому покупателю. Вероятно, в вашем случае произошло именно это. Напишите, пожалуйста, в чат с продавцом, поможем разобраться в ситуации и ответим на все интересующие вопросы.",,,
"здравствуйте скажите пожалуйста от холки есть ,что нибудь",,"Элла, здравствуйте. можем предложить для избавления от холки нашу новую массажную накидку со специальной зоной проработки шеи и плеч, Артикул WB: 401476547. Ещё можете рассмотреть наши массажные матрасы с массажной подушкой в комплекте, Артикул WB: 292041982 (модель HS-D7)
Артикул WB: 216849296 (модель CD8-F)
Артикул WB: 431394602 (модель D5-Dnew)
Артикул WB: 401482557 (модель D5).

При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки, номер посмотрите на инструкции или визитке или напишите нам в чат покупателей на ВБ. мы будем рады вам помочь с выбором и ответить на все ваши вопросы по эксплуатации, уходу за товаром. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
,,,,,
матрас,,,,,
,если настивают на возврате,"попросить оценить на 5 звезд или оставить отзыв и заберем. обратите внимание, в корзине, при оформлении заказа, написано ""возврат по браку""",,,
сумка для матрасов/ накидки или лимфомассежеров,,https://www.ozon.ru/product/sumka-hozyaystvennaya-53-h-75-sm-h-19-sm-sm-1-sht-2305962848/?at=PjtJBOq2nc91XMp2fAY784wU63o8W6h853qj1s5WJlMD&from_sku=2305962287&oos_search=false ,,,
"один большой вибратор а не массажный матрас😅
",,"Благодарим за Вашу обратную связь. Хотим заметить, что вибрация устраняет отечность и активирует лимфодренаж, а также положительно влияет на работу внутренних органов. В описании товара очень подробно расписано, в какой части матраса какой вид массажа выполняется. Например в области подушки и в области ног происходит глубокий роликовый массаж. Многие наши покупатели очень высоко оценивают качество товара, так как он выполняет все заявленные функции. Рекомендуем попробовать сменить режим и подобрать подходящий Вам, если вибрация кажется для Вас слишком сильной. Надеемся, что подобрав подходящий для Вас режим и уровень интенсивности,",,,
слабенький массаж,,"Хотим напомнить, что Вы можете регулировать уровень интенсивности массажа всех зон, у всех разный уровень чувствительности, однако благодаря этой регулировке, почти все наши покупатели могут подобрать подходящий именно себе. Попробуйте увеличить интенсивность или подобрать другой режим. Очень жаль, что снизили оценку качественному товару. Надеемся, что в процессе эксплуатации все таки получится настроить наш массажер так, чтобы он радовал Вас и Ваших близких.",,,
Массажер только вибрация,,"Здравствуйте. 
В описании товара все написано подробно, что в области шеи и ног есть ролики, в других местах вибромассаж. Вибромассаж тоже массаж. За вашу ошибку нам приходится дорого платить (почти 2000 рублей доставка и возврат). Я думаю, это не справедливо, не так ли? 
Все массажные матрасы по примерно такой цене так и работают. Есть в продаже массажеры около 50-100 т.р. У них другой принцип. ",,,
только вибрация или проминание тоже есть?,,"Здравствуйте, уважаемый покупатель. матрас с виброплатформой. со съемной подушкой для ног и шеи с подогревом и массажными элементами и отдельными управлениями",,,
время работы матраса в день ограниченное?Или можно использовать несколько раз?,,"Здравствуйте, уважаемый покупатель. Начитаете с 15 минут в день на каждой зоне (как рекомендовано производителем) и далее ориентируйтесь на свое самочувствие. В карточке товара есть рекомендации и предостережения для людей с какими-либо заболеваниями. Если у них есть что-то из этого списка, лучше проконсультироваться с врачом.",,,
"если в течение двух недель матрас нам не подойдёт, может будет слабым или ещё по какой причине просто не понравится, его можно будет вернуть?",,Добрый вечер. забираем назад по только по браку,,,
"Подскажите пожалуйста, надувная подушка для всего тела, она просто для мягкости или там тоже происходят хоть какие-то массажные движения, вибрации?",,"Здравствуйте, уважаемый покупатель. матрас с виброплатформой. со съемной подушкой для ног и шеи с подогревом и массажными элементами и отдельными управлениями",,,
Какой эффект от сьемных подушек благодаря надуву? От сьемных подушек идет вибрация?,,"здравствуйте. в комплектации это в модели есть несколько подушек. одна - съемная подушка с травами, вторая съемная подушка - пнемноподушка, и третья - съемная подушка с управлением на ней, в ней подогрев и регулировка мощности, смена направления роликов. о какой подушке вы уточняли",,,
подскажите пожалуйста чем отличается эта модель от арт 216849296,,"Здравствуйте, уважаемый покупатель. в этой моделе, по сравнению с матрасом 216849296 есть пульт и инструкция на русском. ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
в чем отличия матрасов:Арт. 216849296 и арт. 292041982,,"Здравствуйте, уважаемый покупатель. Матрас арт. 292041982 есть пульт и инструкция на русском, в моделе матраса Арт. 216849296 только инструкция на русском. а так размер, комплектация, материал из которых они изготовлены и 1 год гарантии у них одинаковы. ждем за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,,,,,
"Подскажите, как сильно выделяются на поверхности элементы вибрации? Не будут ли они создавать дискомфорт во время всей поездки за рулём, либо накидку нужно одевать на кресло только кратко временно на время массажа?",,"Здравствуйте. Выключенная накидка не доставляет дискомфорта, интенсивность массажа можно менять - подобрать самостоятельно, там 9 режимов, какой будет комфортен во время езды",,,
"На фото и в описании товара указана и массажная подушка, а в комплектации она отсутствует. Подскажите, имеется ли в комплекте массажная подушка?",,"Здравствуйте, уважаемый покупатель. в комплекте есть массажная подушка, которая крепится на подголовник. вы получили товар без нее? напишите нам в наш чат покупателей в What сап 7 (962) 559-29-48 или просто уточняете о массажной подушке, то она есть в комплекте и на слайдах, почитайте",,,
"если в течении года матрас перестанет работать, либо какой нибудь из режимов, как осуществляется возврат?",,"Здравствуйте. пишите нам в чат с покупателями в кабинете ВБ или в час поддержки покупателей по номеру What сап 7 (962) 559-29-48. мы проверяем делали именно у нас покупку, вы подтверждаете на видео что есть какая-то неисправность и одобряем возврат",,,
"Сильно шумный? Если на кушетку постелить при наращивании ресниц,чтобы девочки не уставали будет отвлекать и реально ли пару часов пролежать на нем?",,"Здравствуйте. шум не сильный. по для наращивании ресницы будет ли вам удобно работать ведь в матраса есть виброрежимы. при этом матрас рекомендуется включать до 30 мин. этого времени точно будет не достаточно чтоб сделать ресницы или вы хотите использовать его временно, время от времени, чтоб человек. который на нем лежит отдыхал и расслаблялся? свяжитесь с нами по What сап 7 (962) 559-29-48 постараемся с вами побеседовать более подробно",,,
"Подскажите пожалуйста, массажные ощущение от матраса. Только вибрация, или есть ощущения вытяжения? Несколько режимов и скоростей, или только вибрация в одном темпе?",,"Здравствуйте, уважаемый покупатель. благодарим за ваш вопрос и интерес к нашему магазину. по всему телу вибрация и от этого расслабление. 9 режимов работы (можно через пульт подобрать удобный для вас). есть функция подогрева (ей можно пользоваться дополнительно ее включая). в отстёгивающейся съемной подушке для шеи (его можно размещать в любой части тела: под шеей, под поясницей, под коленями...) и массажере для ног (можно размещать сверху на бедро и внизу всей ноги) есть отдельное управление и отдельные настройки. так что массажер многоплановый и много функциональный. Будем рады видеть вас в числе наших покупателей. С наилучшими пожеланиями, Команда магазина MalDina.",,,
что в аромоподушке?,,"Здравствуйте, уважаемый покупатель. В аромоподушке находится: мята, полынь, сафлор, котовник, сапожниковия растопыренная. Ждем Вас за покупками в нашем магазине вновь С наилучшими пожеланиями, Команда магазина MalDina.",,,
Можно ли использовать на компьютерном кресле матрас?,,здравствуйте. желательно этот матрас использовать на ровной поверхности,,,
подскажите в кресло качалку подойдет ваш матрас??? СПАСИБО!!!и ролики только в подушке и подставке для ног или в самом матрас есть???и ткань антивандальная???,,"Здравствуйте. по вопросу кресло качалки: производитель рекомендует использовать матрас на ровной прямой поверхности. если у вас есть возможность уложить его на сидень целеном и лечь на него. то такой вариант подойдет. вы хорошо изучили наши слайды и верно поняли. ролики находятся в съемной подушке и подставке для ног, в матрасе находятся виброплатформы, с помощью которых можно получить расслабление. ткань мягкая, приятная на ощупь. Ждем вас за покупаками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,"Пустая трата ,денег!","Здравствуйте!
Благодарим за отзыв. Сожалеем, что лимфомассажер не полностью соответствует вашим ожиданиям.
Предлагаем провести бесплатную консультацию по его настройке для разных зон тела.  Пожалуйста, свяжитесь с нами чате поддержки по What сап 7 (962) 559-29-48 . Если это не решит вопрос и матрас некорректно работает по техническим причинам - поможем оформить возврат.

Надеемся, что после нашей помощи и поддержки вы измените все мнение и повысите количество звезд.

С уважением,
Команда магазина MalDina.",,,
скажите пожалуйста а в области шеи есть ли возможность мне разогнать соли в шеи,,"Артём, Спасибо за вопрос! Не стоит самостоятельно пытаться убрать отложения солей. Только врач на основании обследования может подобрать Вам правильное лечение. Массажная подушка будет эффективна только на ранних стадиях, когда еще не начались серьезные дегенеративные изменения.",,,
"Какего крепить к креслу, как на фото, он не держиться и сползает",,"Уважаемый покупатель. Демонстрация матраса на кресле, это один из вариантов его применения, который позволяет наглядно продемонстрировать вам возможности массажных элементов. Если вы хотите использовать его на кресле, то располагайтесь так чтобы ваш вес помогал удерживать матрас на месте. Но более эффективно использовать его лёжа на ровной поверхности.",,,
скажите пожалуйста чем отличается модель,,"Надежда, не понятно какая именно вас модель матрасов интересует. у нас есть следующие матрасы:
Артикул WB: 292041982 (модель HS-D7)
Артикул WB: 216849296 (модель CD8-F)
Артикул WB: 431394602 (модель D5-Dnew)
Артикул WB: 401482557 (модель D5).

матрасы CD8-F/ HS-D7/ D5:
основной матрас: вибрация, 9 режимов работы, 9 режимов интенсивности, выбор зоны воздействия, подогрев в области поясницы. аромаподушка  с наполнителем (можно заменить). подушка под поясницы. массажер для шеи: подогрев, роликовый массаж, смена направления, регулировка мощности, регулировка силы, массажер для ног: подогрев, роликовый массаж, смена направления, регулировка мощности, поверхность у первых двух велюр серого цвета, последний экокожа коричневого цвета..

матрас D5-Dnew: 
основной матрас: вибрация, 9 режимов работы, 9 режимов интенсивности, выбор зоны воздействия, подогрев в области поясницы. аромаподушка  с наполнителем (можно заменить). подушка под поясницы с подогревом и массажем. массажер для шеи: подогрев, роликовый массаж, смена направления, регулировка мощности, регулировка силы, массажер для ног: подогрев, роликовый массаж, 16 вращающихся головок, смена направления, регулировка мощности, поверхность экокожа.

При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки, номер посмотрите на инструкции или визитке или напишите нам в чат покупателей на ВБ. мы будем рады вам помочь с выбором и ответить на все ваши вопросы по эксплуатации, уходу или выбору товара. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
,,,,,
,,,,,
,,,,,
МАССАЖЕР ПЕРКФУССИОННЫЙ,,,,,
,перкусмассаж24,,,,
какая мощность массажёра?,,"здравствуйте, Елена.  мощность этой модели 5V 20W",,,
,,,,,
,,,,,
,,,,,
МАССАЖЕР ДЛЯ ГОЛОВЫ,,,,,
Здравствуйте! Массажёр работает только после зарядки аккумулятора или от сети тоже работает,,"Здравствуйте, Татьяна.  надо зарядить его и потом без хвоста от сети используем, делаем массаж в различных техниках, с использованием разных режимов. При подключении к сети лучше вообще такими устройствами не пользоваться, ибо опасно. массажер не будет работать, пока не отключишь от сети. приятных вам покупок в нашем магазине и наслаждайтесь долго приятным массажем!!!",,,
,,,,,
,,,,,
,,,,,
МАССАЖНАЯ НАКИДКА,,,,,
Здравствуйте.Летом в жаркую погоду на накидке из кожи не жарко? Ведь в ней нет вентиляции.,,"Здравствуйте. В жаркую погоду можно не включать подогрев, только массажные режимы. Материал накидки - экокожа, сам по себе не нагревается, не является источником тепла. Использование накидки в выключенном состоянии ничем не отличается от сидения на обычном автомобильном кресле, при массаже накидка также не нагревается, если не включать подогрев.",,,
ЕСЛИ НЕТ В КОМПЛЕКТАЦИИ ЗАРЯДКИ от сети,,"для розетки
https://www.wildberries.ru/catalog/169408796/detail.aspx ",,,
если неТ В КОМПЛЕКТАЦИИ ЗАРЯДКИ от прикуривателя,,переходник для прикуривателя https://www.wildberries.ru/catalog/283946949/detail.aspx,https://www.wildberries.ru/catalog/283947590/detail.aspx,,
"работает только при подключении к прикуривателю или самостоятельно при включении, а нужно подзаряжать?",,"Здравствуйте, уважаемый покупатель. Работает только от прикуривателя в авто, либо при подключении в розетку",,,
От сколько вольт работает?,,"добрый вечер, уважаемый покупатель. от прикуривателя 12 V, от розетки 220V",,,
"Может ли пользоваться этим массажером человек у которого проблемы с сердцем, был инфаркт, стоит стен?",,"Здравствуйте. лучше уточните у лечащего врача. но тут нет ни инфрокрасного излучения, ни каких то магнитных волн. есть вибрации и подогрев в области поясницы и съемного подголовника",,,
"Размер ноги 46, подойдёт ли массажер?",,"здравствуйте. это матрас для массажа. он подойдет для человека ростом от 160 см до 2 м, весом до 150 кг. и с любым размером ноги",,,
В каких зонах осуществляется подогрев и какая температура?,,"Здравствуйте, подогрев в массажере в области шеи (но это съемная подушка ее модно снимать (она на молнии) и размещать от шеи до пяток и в массажере для ног где-то около 37-42 градусов. комфортный прогрев (при желании моно отключать или наоборот включать). ждем вас за покупками в нашем магазине",,,
"Заказала накидку и хотелось бы узнать,до скольки кг выдерживает? У меня маленький вес,а Вот у сына Где то около 100кг",,"Здравствуйте, уважаемый покупатель. в накидке нет ограничений по весу. С наилучшими пожеланиями, Команда магазина MalDina.",,,
В каком цвете данный товар?,,Здравствуйте. черный,,,
,чем отличаются модели накидок,"Здравствуйте, уважаемый покупатель. Благодарим вас за интерс к нашему магазину и ваш вопрос. Спасибо за ваш внимательный подход к выбору товара. Действительно, карточки могут выглядеть похоже, но это разные позиции. Разница в цене обусловлена различными партиями поставок и условиями закупки.

Каждая партия может иметь свои особенности производства и сертификации. Мы стараемся предоставлять максимально полную информацию о товарах, но иногда характеристики могут различаться даже при схожем внешнем виде.  ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Подскажите, внутри массажер двидется? Или просто вибрирует ?",,"В самой накидке 9 виброзон (вибрирует), в подголовнике 2 роликовых элемента (двигается), также в области поясницы и шеи есть подогрев. приятных вас покупок в нашем магазине. С уважением,
Команда магазина MalDina.",,,
Здравствуйте. Можно ли отключить вибрацию? Чтоб просто ролики работали,,"Наталья, здравствуйте. В самой накидке 9 виброзон (вибрирует), сама накидка управляется с пульта. можно подбирать режимы под себя, делать их меньше вибрируя или больше или отключить совсем по вашему желанию. 
в подголовнике 2 роликовых элемента (двигается). подголовник управляется отдельной кнопкой находящейся непосредственно на ней сбоку. 
также в области поясницы и шеи есть подогрев их тоже можно отключать кнопками управления. приятных вас покупок в нашем магазине. С уважением,
Команда магазина MalDina.",,,
издаёт посторонний звук как будто за что-то задевает.,,это нормальные звуки. свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48 если надо помощь в использовании,,,
не включается обогрев в подушке накидки,,"Обогрев включается соответствующей кнопкой, есть 2 или 3 интенсивности. температура набирается постепенно. свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48 если надо помощь в использовании",,,
"Добрый день, какая мощность у данного массажера?",,"Нелли, добрый день. мощность у данного массажера 15 ватт",,,
КАКАЯ МОЩНОСТЬ У ЭТОГО МАТРАСА СКОЛЬКО ВАТ?,массаж.накидка Y5,"Здравствуйте! Модель массажная накидка, мощность 36 Вт.  ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Сказите пожалуйста, темно-синяя накидка тоще подходит в машину? И чем она лучше черной?",массаж.накидка Y5             накидка для авто KD-01,"Здравствуйте. черный Артикул WB: 292127988,  есть 9 зон с вибраций, правляемой пультом, блок от сети и адаптер от прикуривалеля                                синий Артикул WB: 401476547 Здравствуйте, подогрев в массажере в области шеи (но это съемная подушка ее модно снимать (она на молнии) и размещать от шеи до пяток и в массажере для ног где-то около 37-42 градусов. комфортный прогрев (при желании моно отключать или наоборот включать). ждем вас за покупками в нашем магазине",,,
"Сказите пожалуйста, темно-синяя накидка тоще подходит в машину? И чем она лучше черной?",,"Айнюра, здравствуйте.
модель накидки синего цвета, артикул. 401476547
полностью разборная модель (отсоединяются все делали спинка, подголовник и сиденье)
30 массажных элементов в спинке есть выбор интенсивности и зоны (подголовник, спинка, сиденье)
Управление с пульта
есть функция подогрева в области спины, 
инфракрасный подогрев на боковых частях
подушка 2 режима подогрева, 4 варианта вибрации
пульт и инструкция на русском 
таймер 10/20/30мин
блок питания
вес 5,8кг

для машины лучше выбрать эту модель, тк спинка здесь не такая жесткая и удобное крепление резинками спинки накидки и подголовника
модель накидки черный цвета, артикул.292127988 или 303987274
9 видрозон на всей накидке, 9 режимов/ интенсивности/выбор зоны
Спинка управляется с пульта
инфракрасный прогрев в верхней части спины
прогрев в области поясницы
подголовник управляется кнопкой управления сбоку, в нем вращающие массажные элементы
таймер 10/20/30мин
блок питания+адаптер от прикуривателя
вес 2,1кг",,,
Вот почему нельзя сделать адаптер для прикуривателя 24 вольта?,,Владимир. в комплектации идет адаптер для прикуривателя 12 V для легковых автомобилей. обратитесь к специалистам для приобретения блока для понижения напряжения с 24 на 12,,,
Есть с подключением с левой стороны?,,нет,,,
,,,,,
,,,,,
лимфомассажер,,,,,
,,,,,
Можно ли наносить антицеллюлитный крем под массажёр?,,"Елена, здравствуйте. Лучше не наносить крем и гель на ноги перед компрессионной процедурой, чтоб не испачкать массажер. сам массажер направлен на борьбу против целлюлита, снимает отеки ног, улучшает кровоток и лимфоток. пищевой пленкой тоже не стоит обматывать при использовании массажера, тк может где-то пережать или защемить при подаче воздуха в манжеты. крем можно наносить после процедуры",,,
,,"Действительно, роликовый массаж присутствует только в массажной подушке, а в самом матрасе - вибромассаж и подогрев. Такое распределение соответствует физиологическим особенностям организма и рекомендовано специалистами и врачами. Данная информация указана в карточке товара и подробно расписано, какая часть матрасы какие функции выполняет и почему именно эти. Массажер для ног имеет разные режимы и как вы его ощущаете зависит от индивидуальной чувствительности человека.",,,
возврат. просто сжимает и разжимает эффекта массажа нет.,,"Здравствуйте, Инна . Нам искренне жаль, что покупка не оправдала Ваших ожиданий. В этом и есть смысл лимфодренажного массажера - благодаря сжиманию-разжиманию, активируется приток лимфы, что создается дренажный массажный эффект. Это способствует расслаблению ног, снятию напряжения и появлению легкости в ногах. Очень надеемся, что Вы сможете оценить наш товар по достоинству. С уважением, команда магазина MalDina",,,
какое количество процедур можно делать без перерыва?,для всех моделей,"Оптимальный курс составляет 10-15 процедур. Между процедурами рекомендуется делать перерыв 2-3 дня. Ежедневное использование нецелесообразно, так как организму нужно время на адаптацию и восстановление. Повторные оздоровительные курсы рекомендуется проходить 2-4 раза в год, ориентируясь на состояние здоровья. В рамках профилактики — 2 раза в неделю.",,,
,,,,,
,проверить,"Проверьте для начала, хорошо ли соединяются все штекеры и вилка с розеткой. ",,,
Сколько Вт мощность?,массажерног,"здравствуйте, Татьяна. потребительская мощность 24 Вт",,,
208287182 на какой объем ног?,модель А-10,"Светлана, здравствуйте. эти информация хорошо расписана в карточке в слайдах. 
обхват бедра до 65см
обхват колена до 59см
обхват голени до 50см
обхват стопы до 40см. При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки в вотсап 7 (962) 559-29-48. Ждем Вас за покупками в нашем магазине вновь. 
С наилучшими пожеланиями, Команда магазина MalDina.",,,
Можно ли включать только прогрев?,модель А-10,"Елена. здравствуйте. нет, подогрев нельзя запускать без режима надува. этот массажер для этого не предназначен. При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки в вот сапп 7 (962) 559-29-48. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, команда магазина MalDina.",,,
Сжимает на самой сильной программе слабова-то😏!!!,модель А-10,"Здравствуйте! Благодарим за отзыв и обратную связь!
Жаль, что аппарат не оправдал именно ваших ожиданий, однако хотим уточнить:
Уровень компрессии массажёра рассчитан на деликатное, безопасное использование в домашних условиях, без вреда для сосудов и лимфотока — особенно при ежедневном применении.
Материал манжет выбран производителем за его прочность, гигиеничность и лёгкость в уходе. Если при использовании возникает дискомфорт, рекомендуем надевать тонкие хлопковые гольфы.
Для расслабляющего массажа после рабочего дня наш массажер, как правило, получает положительные отклики. Надеемся, вы найдёте для него комфортное применение. Так же можем порекомендовать вам более профессиональную модель из нашего ассортимента, артикул 314134430. С уважением, команда магазина MalDinaGor!",,,
